round,average weight differences,train losses,test losses,test accuracies,average AUCs,Kappas
1,0,1.903514474749565,2.3929585271580205,0.1661,0.5430539579621706,0.08321922221589707
2,0,1.1877235727608204,1.7397969391695254,0.3758,0.6564625271967552,0.3079070291399193
3,0,0.6690659620389342,2.768163623323866,0.4249,0.6861561212258948,0.36308022245478117
4,0,0.3626201922446489,1.4453731657593114,0.4698,0.7104155244900004,0.4125560157532489
5,0,0.2606710499599576,1.2785054817321195,0.519,0.7368728257651176,0.4669232173491247
6,0,0.21003463646396994,0.5545675500183348,0.8294,0.9042377991468322,0.8103545419614755
7,0,0.17922221420891585,0.5708937445643602,0.798,0.8854042487454633,0.7753214205042918
8,0,0.14364586343802516,0.4773149025288357,0.84,0.9093457580090181,0.8220723161716225
9,0,0.16421984302066267,0.5273350428339023,0.8088,0.893402039635306,0.787549854809993
10,0,0.13961452530045063,0.4619027496238423,0.8361,0.908949109068111,0.8179196402385375
11,0,0.12774023765651507,0.6674648238595124,0.7601,0.8674887145694147,0.733564600888657
12,0,0.12668446618318557,0.4037151636591383,0.8473,0.9144577249515298,0.8302538921548619
13,0,0.10682989715505391,0.3323442128718279,0.8905,0.9385795890192192,0.8782814731263167
14,0,0.10407008749502711,0.4062839277847937,0.8561,0.9199846598067568,0.8401005310962519
15,0,0.08094050259515642,0.6384630226975034,0.7711,0.8699480438651411,0.7453779252338819
16,0,0.08686027557123452,0.3239377909310304,0.8858,0.9359899329053316,0.873062561772237
17,0,0.07517336853477172,0.5642333494819654,0.7903,0.880974663686932,0.7667720222431647
18,0,0.08105923569481821,0.2950082679107121,0.9047,0.9461079653118422,0.8940429029958663
19,0,0.07892656344163698,0.34992890226043716,0.8752,0.9307878949859469,0.8613280622588998
20,0,0.068093713961076,0.3503530365266618,0.8662,0.9244095829225338,0.8512381637750631
21,0,0.0647423913930543,0.2849342117003005,0.9067,0.9469629567071196,0.8962607492849246
22,0,0.0568974102945067,0.30095058988044215,0.8993,0.9427341190357161,0.8880302278800574
23,0,0.08136024836299474,0.7940278643635428,0.7436,0.8592403587742723,0.7153606481055981
24,0,0.06982376054942142,0.25453494298182855,0.9131,0.9514970589189427,0.9034176900714574
25,0,0.051798459297337104,0.29787071777661894,0.8967,0.9412118818549956,0.885140877715608
26,0,0.056605001975083724,0.22774338267838498,0.923,0.9568490495265133,0.9144127609995358
27,0,0.05491818192449864,0.30053874228600486,0.8927,0.939163961065006,0.8806943247835826
28,0,0.05048869702639058,0.24488913498012124,0.9201,0.9545729110196405,0.9111649038440692
29,0,0.050063234580331475,0.39792907164449903,0.8641,0.9249519915308422,0.849026061456769
30,0,0.054625728740706106,0.33128114245167584,0.8838,0.9357359843158886,0.8708926301335623
31,0,0.04263682952721138,0.3057861827598636,0.8872,0.9361742430743846,0.8745905431263443
32,0,0.042195120660006066,0.2764056721097155,0.9018,0.9452801557704487,0.8908666790454822
33,0,0.048918674357235424,0.19912324995277034,0.9336,0.9627280961547191,0.9261922587395285
34,0,0.05013291722291614,0.2338203015517752,0.9171,0.95386429814978,0.9078702827806647
35,0,0.03436233248381178,0.20162187944979046,0.9314,0.961603310784823,0.923749944813189
36,0,0.03430599409411661,0.23722967382069607,0.9192,0.9541735624943662,0.9101691950980887
37,0,0.03592846630135318,0.3821514995329699,0.8623,0.9218265246840455,0.8468832144250467
38,0,0.033225400653318506,0.27662397348055034,0.9097,0.9486500998494618,0.8995988613154401
39,0,0.028124672309670133,0.20969930901577707,0.9296,0.9601891557772433,0.9217361675068355
40,0,0.030173742632090585,0.3398160036107537,0.8796,0.93189281598497,0.8661308758816628
41,0,0.04281987652392126,0.19798322345551317,0.9316,0.9616470171989334,0.9239702039229174
42,0,0.035397670778154866,0.21563571951037663,0.9254,0.9586145402572688,0.9170977537169628
43,0,0.03599447432269518,0.18378620568045956,0.938,0.9652636104368767,0.9310860907677991
44,0,0.026006522980576853,0.17904694426425133,0.9406,0.9666712015835582,0.9339742206012437
45,0,0.027945038878126067,0.3781405814988598,0.8662,0.9237719728558508,0.8512116277512422
46,0,0.03514570292201825,0.18233899314217505,0.9381,0.9651286671307936,0.9311907787017295
47,0,0.03591922131375759,0.5466156803593514,0.8286,0.9062225492096398,0.8096572112942437
48,0,0.03032055513423984,0.3109089926976687,0.8881,0.936657709403298,0.8755864365066887
49,0,0.02719804646386183,0.20828387879167393,0.931,0.9607989521961946,0.9232870293842698
50,0,0.02929014838328294,0.20064084976911545,0.9321,0.9616384620747713,0.924515925577772
