round,average weight differences,train losses,test losses,test accuracies,average AUCs,Kappas
1,0,1.9334490110874174,2.352460109504165,0.1247,0.5139805091725854,0.028921605738754907
2,0,1.5118001407980919,2.390697338019207,0.3854,0.6613708989248341,0.3190289827514008
3,0,0.8888116717338562,1.647884333209627,0.5715,0.7631455377967983,0.5249350873964226
4,0,0.4979936221316457,1.2455365084538794,0.656,0.8092160308864699,0.6183160793338904
5,0,0.396709291793406,1.0749913064917183,0.7082,0.838648330840304,0.67625975146845
6,0,0.31561980954930186,0.7586536910503533,0.7414,0.8571582358785177,0.7130245951460629
7,0,0.29360340172052385,0.6791248887207857,0.7775,0.877094479514606,0.7529332020100199
8,0,0.24061467355303465,0.586242711705387,0.8072,0.8945253916015556,0.785946670611406
9,0,0.2182544879950583,0.5389174330671123,0.8165,0.8993971442804265,0.7962511160247965
10,0,0.18365196020156144,0.5004169421306082,0.8278,0.9050006578963634,0.808772360307876
11,0,0.16299752237834036,0.43310570154505174,0.8533,0.9184791117796129,0.8370530138966676
12,0,0.16117590122111142,0.3763658261982499,0.8824,0.9356525876614915,0.8693546851326265
13,0,0.13825690600136295,0.4354884461232811,0.8602,0.9244142036973745,0.8447175044303551
14,0,0.14099188896850684,0.3266860730352865,0.8973,0.9439973742754786,0.885898766252357
15,0,0.12414404554013163,0.3089862706934571,0.8975,0.9444942141701335,0.8861365924765658
16,0,0.11143589510302991,0.3129329343035722,0.8995,0.9452233749020336,0.8883430524503011
17,0,0.11192585170920939,0.3028189464454438,0.9027,0.9467723987170432,0.8919043958038418
18,0,0.0968292510244064,0.2642024473411737,0.9157,0.9531948246314974,0.9063221731815649
19,0,0.09434133136365563,0.22816418943582636,0.9267,0.9600051708905069,0.9185571608844065
20,0,0.09517784666642548,0.3016004051277592,0.8948,0.9423826166029325,0.8830959200753921
21,0,0.08191130614699796,0.20141233377467105,0.938,0.9660544691528605,0.9311021582193374
22,0,0.07888587493961677,0.2295528747331185,0.9247,0.9584332532932462,0.9163182985209676
23,0,0.07678075502207504,0.21901100071348772,0.9322,0.9627264361835209,0.9246563244914753
24,0,0.07639657947910017,0.276151802936557,0.9035,0.947591538261489,0.8927784651869509
25,0,0.07412870029662737,0.20818058765867048,0.9321,0.962935783996509,0.9245528671227208
26,0,0.06798204458062536,0.1808757739479707,0.9439,0.9692779540862325,0.9376564056037356
27,0,0.06346549780294299,0.1985174103515448,0.9373,0.966057305731366,0.9303307540230268
28,0,0.05857712797122076,0.24454259832098985,0.9223,0.9581098615159928,0.9136718252547087
29,0,0.052621871029958134,0.19249770503230157,0.9397,0.967387028764626,0.9329985185227985
30,0,0.05153539802064189,0.1727239268633187,0.9451,0.9698154026936645,0.9389881806547746
31,0,0.0576510200474877,0.22768488902432524,0.9232,0.9579468934959028,0.914649517858127
32,0,0.054363227954017934,0.20717929206361438,0.9343,0.9642672478998697,0.9269934951204153
33,0,0.054808335273410204,0.16643140511587262,0.9479,0.9714690147397402,0.942098326421585
34,0,0.05083128519402817,0.1492455390528153,0.9535,0.9745541482337934,0.9483228675656347
35,0,0.05419289309324814,0.13365618936320067,0.957,0.9763153438422792,0.9522102838201235
36,0,0.042620083818212154,0.18564889881653107,0.9401,0.9675579335120691,0.9334405174349731
37,0,0.03928324724407867,0.16496667867989107,0.9463,0.97055743928794,0.9403243057269164
38,0,0.037229924255283556,0.14487995731104522,0.953,0.9742678827955367,0.9477687789187323
39,0,0.0409457277773763,0.12985896266356206,0.9577,0.9768829366149527,0.952990635212208
40,0,0.03454950272549468,0.14223545065570836,0.9536,0.9746779975286775,0.9484367878803692
41,0,0.05119155239209065,0.15980542669143932,0.95,0.9729783843497994,0.9444404583559955
42,0,0.03842081880517071,0.15492670004000994,0.9504,0.9732159529304683,0.944886059094212
43,0,0.037506211620115214,0.1216462443339502,0.9605,0.9782557272758462,0.9560998790212691
44,0,0.029233341132290664,0.15984722988599923,0.9478,0.9713196587980152,0.9419824838672404
45,0,0.03256647553527728,0.12482735288780254,0.9602,0.9781280946671955,0.9557662366974461
46,0,0.037807478163565965,0.12633664016671195,0.9602,0.9781284439988461,0.955765591198153
47,0,0.03558956226884038,0.12488967717023104,0.961,0.9786486431653442,0.9566561384426944
48,0,0.035998469436075535,0.12740229820286866,0.9593,0.9778751573166815,0.954769161303006
49,0,0.037607244742801416,0.11346984239796379,0.9642,0.9803547742792251,0.9602128890501513
50,0,0.02113962137748604,0.12160403242336207,0.9602,0.9781451667353567,0.9557677449193865
