round,average weight differences,train losses,test losses,test accuracies
1,0.5163352327169688,1.4362159098717902,2.425447506509769,0.1033
2,0.13761779456718037,0.7313153359095257,3.3072621670498212,0.1527
3,0.11799031668687818,0.5939375860989093,2.362548600336549,0.1983
4,0.09825959770907144,0.4672212737943564,2.1154990302529306,0.2657
5,0.15188982818981847,0.3897298030708399,2.0686928884238953,0.2687
6,0.05543800073641515,0.12211029840840235,2.640337524900011,0.3798
7,0.3337910924466256,0.2675500150276348,1.8576771992786674,0.4159
8,0.11303766641057134,0.18649222027945023,1.4627036114407193,0.4905
9,0.0691439299742086,0.2108104305343909,1.4749028378990805,0.5232
10,0.057193875028415164,0.17763882345644139,1.2887176541006489,0.5271
11,0.05964641685998715,0.15094093697766464,1.3341206919615436,0.5391
12,0.08308483202138847,0.12042475472323388,1.2129739298941984,0.534
13,0.061306307686977035,0.07960378406023502,1.319711458531155,0.5536
14,0.0858664985278075,0.09500127740673876,1.050637121413164,0.6495
15,0.058811263031815664,0.15599457381572576,1.3474019401392359,0.4299
16,0.0703641983604103,0.1062498210275856,1.049991622472265,0.6196
17,0.08844585961257526,0.07744232215477516,1.2478810601932988,0.4558
18,0.04233796471247595,0.06414174142301393,1.1616523721415526,0.5756
19,0.09913009130179518,0.07720533336067778,0.977331180101747,0.6736
20,0.053548290085199714,0.10164324895675399,1.0094537431267416,0.6302
21,0.06754297743944072,0.06824747796760253,1.4607590679909772,0.5431
22,0.06666936287554716,0.08076082483519956,0.8181658286577577,0.7276
23,0.04104022110313714,0.07475991986772149,0.8334519513853037,0.7201
24,0.03789231732870933,0.06469057976138881,1.0349280648170762,0.6655
25,0.039963051071189915,0.05701018010253191,1.0364422889272118,0.631
26,0.037886510951053845,0.0637988593816214,1.0599982294307393,0.6261
27,0.04360988675666143,0.07970464665006796,1.0155245016334922,0.6115
28,0.046433686680076504,0.06860588421302641,0.9205476430950651,0.6628
29,0.045106095793533085,0.0710979072423393,1.0996644204589212,0.6334
30,0.04002865097625034,0.07495649859999928,0.9573474518812386,0.6271
31,0.04039794764950057,0.08191416010792212,1.2302016460212173,0.5577
32,0.045725739145179425,0.07816070612218592,0.9460444070730999,0.6356
33,0.042396519861364654,0.07384375347719631,0.9285472942765352,0.6527
34,0.03917937489723407,0.06977279630562083,1.0194580004473401,0.643
35,0.03590985522239003,0.05924688020926745,0.653687151374331,0.7827
36,0.043548026684557296,0.052386691534141494,0.8065761487195446,0.7179
37,0.04361788019741216,0.06454926146864373,0.7014080369548433,0.7427
38,0.03322700921029935,0.04036815822777053,0.8140594839670097,0.7025
39,0.04927815239344354,0.05590024948880051,0.6053333937362501,0.8061
40,0.04397504142792538,0.06202149870279633,0.7207028022996939,0.7277
41,0.033647855970377394,0.03961460073162905,0.6649984052036978,0.7648
42,0.03851740687049883,0.04686456828189289,0.6009383795747332,0.7895
43,0.03382961452511712,0.061714268376507474,0.7596785915885002,0.7229
44,0.03295019590160371,0.04069776642091649,0.5852489756171111,0.7944
45,0.03542235207775366,0.054912403606344015,0.9659528069815059,0.6612
46,0.044020721160487816,0.048124423196190036,0.6406971664185737,0.755
47,0.10653455704167218,0.05361601111022497,0.5679382797639081,0.8076
48,0.08032875422383776,0.05825855545980287,0.5460045015925814,0.8134
49,0.038652686346178786,0.03866049125509906,0.5229647082697814,0.8193
50,0.06324567707343985,0.04122576767372084,1.0790037505186287,0.6134
