round,average weight differences,train losses,test losses,test accuracies
1,0,0.5825030536577886,2.2754896036378898,0.2336
2,0,0.27036110363161253,2.9097776519265146,0.1923
3,0,0.2393969520688281,2.0536525340596583,0.1973
4,0,0.15731880920345284,3.131522559815911,0.3111
5,0,0.09274376866226056,2.7939339094101245,0.2785
6,0,0.12354752029020995,2.8183742678089505,0.3586
7,0,0.12594816755325172,2.9774486168174987,0.1931
8,0,0.11995856631696966,1.4334116505969101,0.5825
9,0,0.0972107068486862,1.2249587690754302,0.5942
10,0,0.052526230491764504,1.2996304927358202,0.5174
11,0,0.03611524979832603,1.0196394301523828,0.6029
12,0,0.02787318129329957,0.7137968900856698,0.7414
13,0,0.017195401482005195,0.6655527410233856,0.8122
14,0,0.02004816588007862,0.6352260450648654,0.7895
15,0,0.020560160743421367,0.8279932251401768,0.7262
16,0,0.02174496252701095,1.5826440430750512,0.5843
17,0,0.021681265669591436,0.6521165189659519,0.7723
18,0,0.01469752803868736,1.05684860344905,0.6648
19,0,0.021104999055480186,0.35346641609812995,0.8721
20,0,0.014970199362598972,0.5153245545306783,0.8217
21,0,0.01339862159545722,0.5596041628129923,0.8064
22,0,0.01733487303956683,0.271115402863094,0.909
23,0,0.01126633773132461,0.21495389547436292,0.9334
24,0,0.008768395356085961,0.3476207494071335,0.8763
25,0,0.011742053055312592,0.45014821567163343,0.8492
26,0,0.010028734753135551,0.37172887343794675,0.8761
27,0,0.011584022423546992,0.3228875313689754,0.8825
28,0,0.011810411886880161,0.6041210312752208,0.8169
29,0,0.018149220907404773,0.848466204989488,0.8
30,0,0.045391284615021676,1.0065761711567072,0.6354
31,0,0.035342110759912684,0.883260576588333,0.7312
32,0,0.024140686431292253,0.9482922910884687,0.7291
33,0,0.03168381993274398,0.6118977724746534,0.7795
34,0,0.028132838813520206,0.5518368328832517,0.8009
35,0,0.014856943357151264,0.18540078110304797,0.9413
36,0,0.00824112871833346,0.17998737211570523,0.9447
37,0,0.009160343005948224,0.1707309889829581,0.9443
38,0,0.007799629370436524,0.18286126582129936,0.9455
39,0,0.009270709982462873,0.13039806353930788,0.9579
40,0,0.008640562627782343,0.13610678891040337,0.9571
41,0,0.0074139812286079425,0.1483328030763526,0.952
42,0,0.007322408607897247,0.11550479728778955,0.962
43,0,0.008242242933334157,0.17165447420523663,0.9457
44,0,0.005660428484863556,0.12359995898126275,0.9635
45,0,0.006936671174231612,0.2700374122756492,0.9064
46,0,0.007988822875063499,0.10483715964286962,0.9684
47,0,0.00675261871389478,0.1010324759201212,0.9663
48,0,0.007216685931510815,0.11392402792554111,0.964
49,0,0.005794016355173471,0.09843474515501682,0.9667
50,0,0.005327984111970863,0.21540296253760102,0.9277
