round,average weight differences,train losses,test losses,test accuracies
1,0,1.6727181900872123,2.3427524171817073,0.1136
2,0,0.7978466960291067,2.238231587561832,0.1725
3,0,0.681547735064394,2.164401939720105,0.3371
4,0,0.5961090594012705,2.0115504690036654,0.4389
5,0,0.49071354899219144,1.8938027741802725,0.369
6,0,0.4259286405508303,1.769131795615907,0.3191
7,0,0.3805396370678985,1.6541844803816195,0.391
8,0,0.2768404048733,1.545866364126752,0.3878
9,0,0.2850548660804311,1.5625457824415463,0.4177
10,0,0.22410198294053169,1.350338006475169,0.5427
11,0,0.17365475748090017,1.3074945966908886,0.585
12,0,0.17091336130116055,1.1970483911265233,0.6154
13,0,0.1436938798695984,1.1189607514697275,0.6473
14,0,0.12137434521858166,1.1064725430907718,0.6344
15,0,0.1400160117889108,1.0583038975478738,0.6483
16,0,0.1112566962574945,1.1454944644763971,0.5906
17,0,0.1096959733701725,1.1110123547778767,0.616
18,0,0.1252583721497245,1.1277782552561182,0.5859
19,0,0.12187042607655812,0.9831915068778263,0.6822
20,0,0.0883075760050431,0.869521869595643,0.7282
21,0,0.10098852311679771,0.8667101451925411,0.728
22,0,0.10826096294797025,0.8682354863282222,0.7296
23,0,0.08637680759997843,0.908769805719898,0.685
24,0,0.10351584274030759,0.945415081871543,0.641
25,0,0.08378835225110783,0.8647593628069398,0.6944
26,0,0.083723414336467,0.7608043073089259,0.7613
27,0,0.09892045509957824,0.7779187305717711,0.7516
28,0,0.07492332683750849,0.7348357606086002,0.7692
29,0,0.08987577440541321,0.7590373099609545,0.7483
30,0,0.08227595457020573,0.768044709969478,0.7221
31,0,0.08019064343526325,0.9049795061160045,0.6565
32,0,0.06368762048870849,0.6915302623988716,0.7794
33,0,0.06258665795669205,0.7041259068212692,0.7605
34,0,0.08587957141253962,0.6520317612559932,0.7939
35,0,0.0725844141381741,0.6420256244908472,0.8042
36,0,0.06218854010295116,0.690756779092892,0.7735
37,0,0.05329604010881062,0.6003439367576769,0.814
38,0,0.061393994169864324,0.6287858191948787,0.7851
39,0,0.08288162683963392,0.5916512628459627,0.814
40,0,0.05968810092715203,0.635505131475485,0.791
41,0,0.07096089924060732,0.5833564713882033,0.8123
42,0,0.04990254719602591,0.6005297918228587,0.8093
43,0,0.05702484569007841,0.5454046524064556,0.8294
44,0,0.06789455663489609,0.620114545913259,0.7715
45,0,0.04343617517048592,0.6112593076411327,0.7947
46,0,0.06226106452177595,0.5313568247161853,0.834
47,0,0.07244138555064837,0.5536094869777655,0.8284
48,0,0.05211681393981255,0.547000741028482,0.8271
49,0,0.0546010133564697,0.5888008095656231,0.791
50,0,0.05046172598453673,0.5397570983619447,0.815
