round,train losses,test losses,test accuracies
1,2.1427802137096825,1.9018143438229895,0.3218
2,1.7521637249785615,1.6527348134168394,0.4008
3,1.556504967572439,1.6841343345156141,0.3927
4,1.450166531078651,1.505194471140576,0.4597
5,1.3748414950907384,1.4103232075454324,0.4902
6,1.3084786490863547,1.3579298834891835,0.5093
7,1.2524017795272495,1.429551508016647,0.493
8,1.2035622726316038,1.2897164293914845,0.5403
9,1.158199046426417,1.2584759103264778,0.5472
10,1.1194970850901835,1.1509980517587843,0.5932
11,1.083035293747397,1.4923904276197884,0.4865
12,1.0506084280093309,1.2049057848134619,0.5752
13,1.0169924560105403,1.2157833215537344,0.5807
14,0.9856028669630476,1.373248038018585,0.5183
15,0.9553945688030604,1.171896533601603,0.5918
16,0.9282113912770206,1.0809584347305783,0.6253
17,0.9011592746085828,1.1350206284765985,0.6093
18,0.8721361120262414,1.1159748621047683,0.6185
19,0.8468359041854244,1.0666435778520669,0.6281
20,0.8234878954527628,1.1079096961173283,0.6152
21,0.7978483822644519,1.2388636018060575,0.5936
22,0.7738182700579733,1.1395721165997208,0.6212
23,0.7519865817273669,1.462467442272575,0.5514
24,0.7318492422399618,1.1749337854658721,0.614
25,0.7084670683840657,1.298728065885556,0.5917
26,0.6873593019783649,1.2641590404662357,0.6082
27,0.6655994532129649,1.2026055299552383,0.6067
28,0.6434975570958593,1.3965573379188587,0.5725
29,0.6213745651266459,1.1288932964300653,0.6422
30,0.5999284678560388,1.1752287198783486,0.6376
31,0.5782477575189927,1.236010456540782,0.6274
32,0.5556985789628894,1.1628134607509444,0.6424
33,0.5376738325485488,1.1554481250465296,0.6519
34,0.5152350645845808,1.3286598081801348,0.6065
35,0.4944595463974092,1.178992856080365,0.6618
36,0.47326319786669957,1.2705733927951497,0.6425
37,0.45328737660061064,1.2870174395810268,0.6441
38,0.4303024597561268,1.5526301071142694,0.6176
39,0.4140630893961853,1.3629212470570946,0.637
40,0.3921575273203728,1.4463884169888344,0.6306
41,0.37502946178702745,1.6740667318842213,0.5952
42,0.3539491470360085,1.5772019643692454,0.6198
43,0.3407113637556048,1.6762215385011807,0.606
44,0.31806741743479544,1.6933342985286834,0.6078
45,0.30161649182133965,1.59927961894661,0.6243
46,0.2879793670247583,1.649581392099903,0.6313
47,0.2650983832357332,2.042503115098188,0.6
48,0.2587910907061966,1.803593490533768,0.6163
49,0.23835839212055096,2.044126095285841,0.5975
50,0.22402179913828746,2.1064936180782925,0.5933
51,0.2137913472064392,1.7708816592860375,0.6398
52,0.20103013078632104,1.8351926526446252,0.6424
53,0.18248554781708112,1.9152397448849525,0.6364
54,0.17092061842151005,2.2073705143229976,0.6159
55,0.158916476480377,2.239134926704844,0.6235
56,0.15919072485869498,2.416416284385001,0.6026
57,0.14929568981203964,2.838519100930281,0.5962
58,0.15027830309813361,2.1938733925485305,0.6414
59,0.12376694472701959,2.170206577534888,0.6387
60,0.10797855493081424,2.5616583209128896,0.6108
61,0.09775431610672447,2.34776173731324,0.639
62,0.07677473061863342,2.5376595273898666,0.6283
63,0.0990444029552762,2.9156974690734963,0.5988
64,0.1370028544007741,3.1365407766050595,0.5785
65,0.1192034243134415,2.7094179338710322,0.6144
66,0.09426264366720949,2.5816828604716404,0.6358
67,0.07294869819022429,2.9886102805471726,0.6179
68,0.0799989379285013,2.6804474075888374,0.6376
69,0.03658702004881923,2.76175725384123,0.639
70,0.01690091539794803,2.8034788825709347,0.6449
71,0.00875300607468952,2.888920583542745,0.6468
72,0.005736903883540608,2.9594628104738367,0.6483
73,0.004534419609249815,3.017130582195938,0.6467
74,0.003871132994381487,3.075617412093339,0.6467
75,0.0034090548618565626,3.115202316053354,0.6458
76,0.003060932620354068,3.144390532924871,0.6475
77,0.0027859948594551867,3.1830589869979082,0.6467
78,0.0025568202782846284,3.2135822719829097,0.647
79,0.0023553230936842664,3.2462818546659626,0.6458
80,0.002192626452764801,3.2662688615215814,0.6467
81,0.0020503768690086454,3.2951996546642035,0.6463
82,0.0019305040737550914,3.3188528171770133,0.6464
83,0.0018223770003503218,3.344857625141265,0.6464
84,0.0017221746935724707,3.364070131520557,0.6462
85,0.001638588736608179,3.3845474644071736,0.6459
86,0.0015559278252070693,3.401783685016025,0.6453
87,0.0014833723164155788,3.4234769162099075,0.6462
88,0.001419225899467502,3.4437491271146543,0.6462
89,0.0013586103769830282,3.458928660981974,0.6471
90,0.001302696053528071,3.4755472073889084,0.6462
91,0.00125355387734466,3.4930833099753995,0.6459
92,0.0012063711064795027,3.5109842028587486,0.6452
93,0.0011620564440436795,3.5268839833083425,0.6456
94,0.0011215882923003271,3.539780003250025,0.646
95,0.0010815459054426106,3.5536929217113813,0.6451
96,0.0010465589107658542,3.5702798055235747,0.6442
97,0.0010134519421798594,3.5835229841766845,0.6459
98,0.000981549829449457,3.6000646352767944,0.6464
99,0.0009526844608926159,3.612016902607717,0.6454
100,0.0009248719117721803,3.623098889733576,0.6448
