round,average weight differences,train losses,test losses,test accuracies
1,0,0.5036319856308531,2.3018930748010136,0.3036
2,0,0.30555161496465333,2.855878972703484,0.1933
3,0,0.13472958043101568,2.132507315107212,0.2519
4,0,0.06101837269270779,1.6283792940674313,0.3917
5,0,0.09572300723888919,1.968714536375301,0.3058
6,0,0.01958597640435093,2.841718784563101,0.3721
7,0,0.052479194271279984,2.353936646394669,0.2812
8,0,0.048829149585333256,1.104166656163088,0.6717
9,0,0.04024654635447465,0.9249376639439042,0.6422
10,0,0.024434225328640927,0.7433901174812559,0.7005
11,0,0.01623902950333165,0.5913750901343716,0.7923
12,0,0.03465861833920711,0.5144765090410877,0.852
13,0,0.008996020755624865,0.7329724647436932,0.7835
14,0,0.011458245672309306,0.5262401054619225,0.805
15,0,0.017361412147283064,0.6724968374155129,0.7293
16,0,0.012613464181109318,0.9875956804129729,0.6839
17,0,0.025808696966605767,0.5346183815769329,0.8126
18,0,0.009651094011816946,0.6063139618012556,0.7708
19,0,0.008934020227344464,0.34740564666071516,0.875
20,0,0.017445844575599438,0.37412155343658604,0.8669
21,0,0.007044492888050993,0.6930559731213151,0.7651
22,0,0.015213578209513395,0.3110919029801894,0.8894
23,0,0.006788071836065631,0.25768317741335955,0.9142
24,0,0.01338233798457961,0.4058199101098024,0.8501
25,0,0.00631840725020979,0.5668186193249029,0.8108
26,0,0.005691947091632036,0.5056849155266574,0.8401
27,0,0.012718211568519678,0.2835444239958836,0.9075
28,0,0.01834851953434888,0.27360498506552094,0.9048
29,0,0.007448469253178094,0.5252366697142838,0.8453
30,0,0.011580267013661544,0.6395646520670811,0.7645
31,0,0.012131010820885246,0.7395054863137045,0.776
32,0,0.008906500541861128,0.6199828495455396,0.8069
33,0,0.022258994795228422,0.43050139278742916,0.8473
34,0,0.011181651130355425,0.3737109171309669,0.8687
35,0,0.005822235578325641,0.19458080799123095,0.9357
36,0,0.004752809310374737,0.21975840217653353,0.9264
37,0,0.005445847223982633,0.17852605151451506,0.9352
38,0,0.0038475098035459154,0.23742385870023708,0.9198
39,0,0.007064811709773694,0.1537251467549592,0.9483
40,0,0.0048755524425345255,0.18452664784743053,0.9386
41,0,0.004168434632589096,0.17031540296776043,0.9449
42,0,0.005403045677589338,0.1648902652227575,0.9435
43,0,0.0046728994027273275,0.18005518059418268,0.9415
44,0,0.0045787772112882204,0.1508184222780334,0.9502
45,0,0.024044355183432346,0.28110323248395497,0.8948
46,0,0.005705778307494459,0.16812669906088976,0.9442
47,0,0.007051521351667436,0.16289564534120118,0.9446
48,0,0.004211834958815315,0.13996384116067628,0.953
49,0,0.003595223239308577,0.13824161533177326,0.9524
50,0,0.025061690910614977,0.23336342978439514,0.9201
