round,average weight differences,train losses,test losses,test accuracies
1,0.33889487602138707,1.9334490110874174,2.352460109504165,0.1247
2,0.12845672582450016,1.5118001407980919,2.390697338019207,0.3854
3,0.08308458176117628,0.8888116717338562,1.647884333209627,0.5715
4,0.08102538837398945,0.4979936221316457,1.2455365084538794,0.656
5,0.17834687682809205,0.396709291793406,1.0749913064917183,0.7082
6,0.067159015615056,0.31561980954930186,0.7586536910503533,0.7414
7,0.059559191510605444,0.29360340172052385,0.6791248887207857,0.7775
8,0.07002433499530533,0.24061467355303465,0.586242711705387,0.8072
9,0.07665089151792195,0.2182544879950583,0.5389174330671123,0.8165
10,0.04631256667871079,0.18365196020156144,0.5004169421306082,0.8278
11,0.052284300619035086,0.16299752237834036,0.43310570154505174,0.8533
12,0.07664853805169114,0.16117590122111142,0.3763658261982499,0.8824
13,0.04284792948524478,0.13825690600136295,0.4354884461232811,0.8602
14,0.041402539680525666,0.14099188896850684,0.3266860730352865,0.8973
15,0.043005144132038875,0.12414404554013163,0.3089862706934571,0.8975
16,0.03918055142014233,0.11143589510302991,0.3129329343035722,0.8995
17,0.08023238833828195,0.11192585170920939,0.3028189464454438,0.9027
18,0.07592139770252804,0.0968292510244064,0.2642024473411737,0.9157
19,0.06684450165588797,0.09434133136365563,0.22816418943582636,0.9267
20,0.03794072918422506,0.09517784666642548,0.3016004051277592,0.8948
21,0.03576799418237547,0.08191130614699796,0.20141233377467105,0.938
22,0.035811549605764915,0.07888587493961677,0.2295528747331185,0.9247
23,0.045624612158314606,0.07678075502207504,0.21901100071348772,0.9322
24,0.032763153863272894,0.07639657947910017,0.276151802936557,0.9035
25,0.042079250308763506,0.07412870029662737,0.20818058765867048,0.9321
26,0.04153263490860615,0.06798204458062536,0.1808757739479707,0.9439
27,0.04049960084820167,0.06346549780294299,0.1985174103515448,0.9373
28,0.03511006443821647,0.05857712797122076,0.24454259832098985,0.9223
29,0.035318404548595375,0.052621871029958134,0.19249770503230157,0.9397
30,0.03248232865980438,0.05153539802064189,0.1727239268633187,0.9451
31,0.06726170958033703,0.0576510200474877,0.22768488902432524,0.9232
32,0.03602994760086036,0.054363227954017934,0.20717929206361438,0.9343
33,0.07396577994551548,0.054808335273410204,0.16643140511587262,0.9479
34,0.04616703813236981,0.05083128519402817,0.1492455390528153,0.9535
35,0.11280853028122254,0.05419289309324814,0.13365618936320067,0.957
36,0.033297458496055685,0.042620083818212154,0.18564889881653107,0.9401
37,0.03396603528371769,0.03928324724407867,0.16496667867989107,0.9463
38,0.026805393160062668,0.037229924255283556,0.14487995731104522,0.953
39,0.02760606978303714,0.0409457277773763,0.12985896266356206,0.9577
40,0.03358720110609665,0.03454950272549468,0.14223545065570836,0.9536
41,0.04118979271798166,0.05119155239209065,0.15980542669143932,0.95
42,0.049266922194762336,0.03842081880517071,0.15492670004000994,0.9504
43,0.0397747469301612,0.037506211620115214,0.1216462443339502,0.9605
44,0.03422513683349773,0.029233341132290664,0.15984722988599923,0.9478
45,0.028134714467859527,0.03256647553527728,0.12482735288780254,0.9602
46,0.06950208247097185,0.037807478163565965,0.12633664016671195,0.9602
47,0.05867391805137673,0.03558956226884038,0.12488967717023104,0.961
48,0.03384959793597958,0.035998469436075535,0.12740229820286866,0.9593
49,0.03906692927765394,0.037607244742801416,0.11346984239796379,0.9642
50,0.03493182334757763,0.02113962137748604,0.12160403242336207,0.9602
