round,average weight differences,train losses,test losses,test accuracies
1,0.33536646951900095,2.259537177085876,2.2990906953811647,0.0892
2,0.30633174426566046,2.1723983697096503,2.306365603208542,0.1235
3,0.31296587630322126,1.81170978585879,3.089293211698532,0.2263
4,0.1322931346516844,1.6638294633229573,2.73111554980278,0.2493
5,0.13903057049452366,1.4625628352165223,2.6228100061416626,0.3351
6,0.06629950740448645,1.3428378794590632,1.8439648479223252,0.524
7,0.11361219312468487,1.1176141450802484,1.5609745532274246,0.531
8,0.07642927877239322,0.8562726531426111,1.2555152148008346,0.5986
9,0.041419642146680834,0.715012289484342,1.1272874489426612,0.607
10,0.047872167845473115,0.5564303350448608,0.878726777434349,0.7534
11,0.03170166867585638,0.4767894194523493,1.087191316485405,0.5705
12,0.028403050573107567,0.42113531549771627,0.7323911547660827,0.7547
13,0.03413662230180763,0.33089807353913786,0.6344678856432437,0.8176
14,0.03625642964776017,0.32426561499635376,0.6854916900396347,0.772
15,0.025301315237401124,0.2622798918187618,1.066516001522541,0.6514
16,0.0385335491900609,0.2884642076243957,0.6539342947304249,0.7736
17,0.027326971129400034,0.2392121389011542,0.9881540536880493,0.6676
18,0.029363492054073626,0.25038830930987993,0.5007301796227693,0.8412
19,0.03302261385153163,0.24881467158595716,0.5765160117298365,0.7995
20,0.03501981135780263,0.2163344478607178,0.6161761544644833,0.7657
21,0.030802988102995116,0.20878950250645478,0.47687791734933854,0.8493
22,0.040659232658226054,0.1914156013230483,0.48492036387324333,0.8293
23,0.09961636784399616,0.2580356688052416,1.193341325223446,0.5951
24,0.04356110671928999,0.22562897168099885,0.4432315144687891,0.855
25,0.03055049201951341,0.180337184133629,0.4616730883717537,0.8361
26,0.02552871042766614,0.18291373724738755,0.40316148325800893,0.8694
27,0.025518663369508775,0.17064357823381823,0.465912551805377,0.8305
28,0.030175610917389017,0.15963797318438688,0.4067814897745848,0.8643
29,0.029764351933313594,0.188919696311156,0.678849808126688,0.7601
30,0.024926276398135258,0.17934892705331246,0.4723931489512324,0.8339
31,0.022120951130217795,0.14910987891256808,0.48750790357589724,0.8093
32,0.02727354054448099,0.16713209584355354,0.4951622188091278,0.8278
33,0.02733161195465314,0.15072565674160915,0.36343156825751066,0.8766
34,0.021644694605095334,0.15688140468051037,0.4051021132618189,0.8563
35,0.025064148725389812,0.13210242675617337,0.3407013852149248,0.8871
36,0.023236452928805416,0.12563219835981726,0.37836732119321825,0.8733
37,0.19749267536073747,0.11894720834369461,0.5040629353374243,0.8085
38,0.0227805843619535,0.1249190971131126,0.42399997971951964,0.8499
39,0.03324825123772597,0.11535832192127907,0.32669055350124837,0.8934
40,0.020949035871190853,0.11313605093086758,0.5033788174390793,0.8106
41,0.07211002564636623,0.13822166095798213,0.36176334638148544,0.8708
42,0.030726377792580573,0.13160802791515985,0.3442545780912042,0.8829
43,0.02615500022423704,0.11769817480817438,0.30041732648387554,0.9021
44,0.024915244385186445,0.1084581447641055,0.29138323441147806,0.9066
45,0.027520711687070702,0.09917110689605275,0.5069191165268421,0.809
46,0.027607515023964534,0.1240152954372267,0.2978672944009304,0.9021
47,0.018977767607366667,0.12399639328320819,0.7686065293848514,0.7433
48,0.036226785019713444,0.12427527862911425,0.5691576309502124,0.7924
49,0.02532869588679968,0.10758189773187041,0.29051868794485924,0.9065
50,0.02321427759715069,0.09929225888103246,0.32061465326696637,0.889
