round,average weight differences,train losses,test losses,test accuracies,average AUCs,Kappas
1,0,2.2554200296931795,2.3023454520353086,0.0556,0.4744554671929496,-0.05109216088254346
2,0,2.258568937513563,2.301502578577418,0.0902,0.4935017829968153,-0.012830293248657833
3,0,2.1954571509361265,2.3012276941044316,0.1096,0.504608348859611,0.009439417135641224
4,0,2.1315525399314033,2.2988735824633557,0.1009,0.5,0.0
5,0,1.9840259408950807,2.301917141410196,0.1035,0.5016951724251592,0.004539389216015848
6,0,1.504402066601647,2.5516014934345415,0.105,0.5012719077103212,0.0024886514972868204
7,0,1.1203267776966095,2.5292137382896085,0.1009,0.5,0.0
8,0,1.0095279082987043,2.330129306027844,0.1031,0.5001732948807563,0.00033671343390747705
9,0,1.0404815610912113,2.3404275991354777,0.1759,0.5465684097403887,0.09065583157140773
10,0,1.0381188367472753,2.265065767203167,0.1274,0.515245110219881,0.029549343890389216
11,0,0.9881543059481513,2.3424945424316794,0.1199,0.5096361461529173,0.019521820758562364
12,0,0.918726500372092,2.2605314512920986,0.2233,0.5686363442577321,0.13579333704340246
13,0,0.9355275225308208,2.2722125600098044,0.1955,0.5536607763194829,0.10545013815763872
14,0,0.9073097515768473,2.145307395108946,0.2175,0.5659044909501176,0.1298153184531197
15,0,0.9052363583776687,2.2734392023390266,0.1602,0.5322946318405547,0.06554181550159086
16,0,0.8974458089139727,2.0716317550391907,0.3713,0.6556810477921005,0.30483608738176105
17,0,0.8288433548808097,2.2221164179455704,0.2626,0.5971560879330904,0.18680269213082173
18,0,0.7764888711108101,2.1003087667902562,0.3807,0.6512126692943422,0.3095368106908809
19,0,0.777588613861137,1.9935055014434133,0.3871,0.6621468312600527,0.32136953628844916
20,0,0.8063321745726798,2.0183390287836644,0.3002,0.6143936774935103,0.2244015894735669
21,0,0.6396412838829889,1.9938406443140309,0.3228,0.6311719161654773,0.2524498907127441
22,0,0.6639371801333296,1.7357411862938268,0.5403,0.7402635221362286,0.4877768594209775
23,0,0.6217405677090089,1.7251813070029969,0.4111,0.6739938203651442,0.3454175180277506
24,0,0.5218167774379253,1.8454066013834278,0.3419,0.6349711847451396,0.26829104498089906
25,0,0.5240909488871693,1.940447941707198,0.2841,0.5969450937747732,0.19756086300216322
26,0,0.4614324643090367,1.735159866369454,0.4869,0.7114908316440196,0.42932540479358205
27,0,0.6777511590553654,1.6592640671760412,0.31,0.6236437486933641,0.2386224203451741
28,0,0.5254810551181436,1.5254535394109738,0.4797,0.7122949535979319,0.4224052393517498
29,0,0.44819919689248006,1.5971761182614952,0.3882,0.6637887570116965,0.32143471283578445
30,0,0.47371968717624746,1.5745169516581639,0.408,0.6740114506222967,0.34291667168913637
31,0,0.5086623279626171,1.750460831982315,0.319,0.6212954839072511,0.242315915144189
