round,average weight differences,train losses,test losses,test accuracies,average AUCs,Kappas
1,0,0.36950817178624373,2.3045292887718056,0.1032,0.5,0.0
2,0,0.25632314522698935,2.3086190907059203,0.1009,0.5,0.0
3,0,0.30422370534700655,2.200730946413271,0.2863,0.5993111578946093,0.20399099752520056
4,0,0.2393731945300371,1.854557785258931,0.2617,0.5832103006898052,0.17086103582669823
5,0,0.202455036911803,1.5474715627682436,0.4311,0.6859471733391204,0.3707681698460958
6,0,0.11757694959743983,1.4917010888931856,0.4703,0.7012691980797913,0.41020581768215875
7,0,0.17010491817258297,1.2287060595621728,0.5479,0.7446362407598571,0.49734104419509634
8,0,0.1453399555726598,0.7862846889313618,0.8474,0.9140518747636358,0.830341912521822
9,0,0.10356173140100307,0.7146150503948236,0.8074,0.8937628949044429,0.786138337604441
10,0,0.10029592576281479,0.6629070263759346,0.8439,0.9094462903058558,0.8263235701590025
11,0,0.07539367657310019,0.6107957585222402,0.8775,0.9313059632055382,0.863820849245867
12,0,0.06305520323053417,0.5437447366061484,0.9059,0.9473241790935674,0.8954046784653673
13,0,0.05107287592254579,0.5511486452476234,0.8748,0.9300308935130304,0.8608219256780635
14,0,0.054800097878711915,0.4522279156431271,0.9242,0.9571015031079009,0.9157269208472442
15,0,0.07013707618772362,0.5981149641191883,0.8438,0.9102161677295981,0.826262353878381
16,0,0.06063544184150588,0.47658134816558495,0.8997,0.9443923400072641,0.8885826807209192
17,0,0.045057555804443025,0.5135351613069036,0.8728,0.9296422428262566,0.8587303369038242
18,0,0.04061667121662241,0.4997089597260117,0.8425,0.9132175155797793,0.8251338891522059
19,0,0.04181658806434521,0.4121560172480383,0.9075,0.9491405706134728,0.897225742811499
20,0,0.052752991271101765,0.4210876034703224,0.9233,0.9572506171566463,0.9147441661389216
21,0,0.034608058588475814,0.4537391029535585,0.8719,0.9292694399826733,0.8577554525521937
22,0,0.04269780586732345,0.3415577326230942,0.9501,0.9722441875503727,0.9445380431345533
23,0,0.04084645089745108,0.3765880567063192,0.9361,0.9635510987182314,0.9289550664476927
24,0,0.0342241349728364,0.42981603181665873,0.906,0.947024843907475,0.8954912792086449
25,0,0.03315253001430796,0.34651632815789263,0.9326,0.9625899347598331,0.9250844478337
26,0,0.02905063309422177,0.3869137881667751,0.911,0.950947791027603,0.9010924901239185
27,0,0.03694436919720223,0.3483921039825792,0.9393,0.966396010694748,0.9325479409675581
28,0,0.02990216960820059,0.32033529336665084,0.9522,0.9734789121644649,0.946871542447498
29,0,0.02845456672133878,0.36734894003458085,0.9366,0.9647392217859231,0.9295367277692155
30,0,0.029886856194223384,0.38114171774144384,0.9287,0.9604558121521152,0.9207561811956929
31,0,0.03329411637736485,0.4103273281436058,0.9035,0.9448369323760563,0.8926835431970591
32,0,0.02832264165419878,0.39353559436691793,0.9253,0.9583031193326313,0.916970031716781
33,0,0.027103048356042964,0.38266097369847024,0.9188,0.9543542333162385,0.9097238819322233
34,0,0.03187448259287824,0.4683208065048145,0.8781,0.9328033552396967,0.8645619723083342
35,0,0.022015983424822076,0.2982422384866484,0.956,0.9755825988539083,0.9510939950961949
36,0,0.021156329588395438,0.3136748235886264,0.9487,0.9709832833979402,0.9429682770546404
37,0,0.02559251220819229,0.2964119298063266,0.9554,0.9749579935724185,0.9504217353957773
38,0,0.018454700939150324,0.3079076290700086,0.9421,0.967282706846541,0.9356304130000507
39,0,0.020877354767225267,0.2709406663183194,0.9615,0.9784571370847303,0.9572049453831728
40,0,0.023659766980757318,0.3366939827894709,0.9287,0.9596368216632787,0.9207238514990291
41,0,0.01744057517201226,0.2690317112074536,0.9574,0.9759815309165358,0.9526439294386545
42,0,0.019100656883739346,0.2654310111786909,0.9628,0.9792829242926755,0.9586508538343029
43,0,0.01889015800862883,0.33810810944077313,0.935,0.9634545521860017,0.9277388940766805
44,0,0.017608128230139197,0.2926180677808774,0.9523,0.9729631442232775,0.9469709565821317
45,0,0.017415282232686877,0.32548571781368013,0.9323,0.9617057319620553,0.9247327227856372
46,0,0.017044461569748818,0.30068215234264445,0.9415,0.9671835653936942,0.934970038529085
47,0,0.015351657951509372,0.28499163250634624,0.9524,0.973057556693203,0.9470820144507457
48,0,0.019253879011763883,0.2923370346332052,0.9437,0.9686867252059326,0.9374174226782809
49,0,0.014776786259737695,0.269510143122096,0.9568,0.9760456730673133,0.9519844957936918
50,0,0.01848765614675358,0.40795840389409643,0.8868,0.9365976742065133,0.8741877147081952
51,0,0.016157297409501753,0.2723797285917458,0.9579,0.9765105841236675,0.9532033356084367
52,0,0.016640514579549844,0.3366863551982649,0.9351,0.9641701855894811,0.9278704974686213
53,0,0.013128735942559108,0.3399466560904387,0.9247,0.9584664495590903,0.9163167268526843
54,0,0.01405631130030896,0.2833119419160163,0.9479,0.9712694976309191,0.9420954382764045
55,0,0.018842279520015128,0.3217560843487454,0.9362,0.9647877972863089,0.9290912338081972
56,0,0.016380257606894398,0.27716394632485264,0.9565,0.9759700481183053,0.951651885573684
57,0,0.012489674349522426,0.2443247436053434,0.9667,0.9814629094965808,0.9629855878217115
58,0,0.011875313762834088,0.25645935236458567,0.9633,0.9793008239490076,0.959202401842424
59,0,0.013602694811092483,0.28057857332335917,0.9603,0.9776048122192128,0.9558670239414503
60,0,0.013432540223002434,0.39774548162700263,0.9035,0.945234694175977,0.8926971623481036
61,0,0.009082026286050676,0.2905001209420004,0.9493,0.970861340354284,0.943630738151815
62,0,0.010504857797641307,0.3048368075471016,0.9426,0.9672314142791623,0.9361857069747055
63,0,0.008042467575287447,0.3728155674068791,0.9121,0.9494687294222348,0.9022639950676119
64,0,0.015928138846647923,0.3747401799365973,0.9178,0.9533548637758577,0.9086115299718437
65,0,0.009750063336687164,0.26250442349986663,0.9646,0.9799000357187708,0.9606466673029901
66,0,0.010502143134233647,0.23731648143689343,0.9717,0.9840910748056748,0.9685416306831461
67,0,0.011287269174612851,0.2808127324482438,0.955,0.9743154586744609,0.9499714281267301
68,0,0.011646159043820162,0.2745382951892865,0.9614,0.9782202396183521,0.9570895953574411
69,0,0.012062165142269805,0.26028040241283973,0.9598,0.9777647033720418,0.955318327241769
70,0,0.012301263158830502,0.2856296161367635,0.9548,0.9751263955607443,0.9497660995122231
71,0,0.008694428190226769,0.25922762374779224,0.9602,0.9780152401367539,0.9557646433173709
